Role,Description,Degree,Years of Exp,Expanded Experience,Notes,listing_to_embed
Intermediate Subject Matter Expert,"Lead the Product Roadmap of Strategic ITDI Initiatives, Define a Product vision - Define Epics and Stories, Coach the ITDI office on Product Management Best Practices",Masters in any field,15,"Significant experience in product strategy and agile software development required.  Experience in business strategy, team building and growth management preferred.",,"Intermediate Subject Matter Expert Lead the Product Roadmap of Strategic ITDI Initiatives, Define a Product vision - Define Epics and Stories, Coach the ITDI office on Product Management Best Practices Masters in any field 15 Significant experience in product strategy and agile software development required.  Experience in business strategy, team building and growth management preferred. nan"
Intermediate Software Developer,"Develop Intranet pages, Develop SharePoint sites, PowerApps pages and other similar small projects,  Tier III technical point of escalation","Masters, Engineering or related field",6,Experience in agile product design required.  Experience in user journing mapping and usability testing preferred,,"Intermediate Software Developer Develop Intranet pages, Develop SharePoint sites, PowerApps pages and other similar small projects,  Tier III technical point of escalation Masters, Engineering or related field 6 Experience in agile product design required.  Experience in user journing mapping and usability testing preferred nan"
Advanced Cloud Architect,"Develop and refine the agency’s cloud strategy in alignment with the mission. Select appropriate cloud service models (IaaS, PaaS, SaaS) and providers, considering factors like scalability, security, and cost-efficiency. Architecture Design: Design cloud-based architectures that are scalable, resilient, and secure.","Masters, Engineering or related field",10,"Experience with the Microsoft 365 platform including the transition to a new tenant and experience in developing and managing cloud strategies aligned with organizational goals required. Experience in designing scalable, resilient, and secure cloud-based architectures using cloud-native technologies preferred",,"Advanced Cloud Architect Develop and refine the agency’s cloud strategy in alignment with the mission. Select appropriate cloud service models (IaaS, PaaS, SaaS) and providers, considering factors like scalability, security, and cost-efficiency. Architecture Design: Design cloud-based architectures that are scalable, resilient, and secure. Masters, Engineering or related field 10 Experience with the Microsoft 365 platform including the transition to a new tenant and experience in developing and managing cloud strategies aligned with organizational goals required. Experience in designing scalable, resilient, and secure cloud-based architectures using cloud-native technologies preferred nan"
Advanced Operational Data Science Lead,"Lead the development and implementation of operational data management tools in the Palantir platform, acting as the Product Owner. Develop and execute an organization change management and training plan for process improvement. Develop business process and data models and maintain an enterprise data dictionary for operational data. Guide the implementation of AI based tools for process improvement",Masters in any field,11,"Experience in change management and product development required.  Experience in strategic planning, action planning and advanced instrucitonal design tools preferred",,"Advanced Operational Data Science Lead Lead the development and implementation of operational data management tools in the Palantir platform, acting as the Product Owner. Develop and execute an organization change management and training plan for process improvement. Develop business process and data models and maintain an enterprise data dictionary for operational data. Guide the implementation of AI based tools for process improvement Masters in any field 11 Experience in change management and product development required.  Experience in strategic planning, action planning and advanced instrucitonal design tools preferred nan"
Basic Subject Matter Expert (Data Strategy),"Advise the Director of Data Innovation, CTO, CIO and ARPA-H leadership on data strategy. Provide project management leadership for data innovation projects. •Provide evaluation and assessment services for data innovation projects.","PhD, Molecular/Cell Biology or related scientific field",15,"Experience in busienss development strategy and implementaiton required.  Experience in capture processes, and pricing structures preferred",,"Basic Subject Matter Expert (Data Strategy) Advise the Director of Data Innovation, CTO, CIO and ARPA-H leadership on data strategy. Provide project management leadership for data innovation projects. •Provide evaluation and assessment services for data innovation projects. PhD, Molecular/Cell Biology or related scientific field 15 Experience in busienss development strategy and implementaiton required.  Experience in capture processes, and pricing structures preferred nan"
Intermediate Security Specialist,"Serves as Security Lead for OTD, conducts security risk assessments, drafts policy documentation","Bachelors, Information Systems or related field",10,"Experience in security automation and cyber threat intelligence required.  Experience in cloud security, cloud migration or Risk Management preferred",,"Intermediate Security Specialist Serves as Security Lead for OTD, conducts security risk assessments, drafts policy documentation Bachelors, Information Systems or related field 10 Experience in security automation and cyber threat intelligence required.  Experience in cloud security, cloud migration or Risk Management preferred nan"
Intermediate Technical Management Advisor,"Serves as Technical Management Advior, Project manager, Sharepoint administrator, Requirement engineer",Masters in any field,10,Experience in program management and program schedules required.  Experience in product assurance reviews and risk identification/mangement preferred,,"Intermediate Technical Management Advisor Serves as Technical Management Advior, Project manager, Sharepoint administrator, Requirement engineer Masters in any field 10 Experience in program management and program schedules required.  Experience in product assurance reviews and risk identification/mangement preferred nan"
Basic Design Strategist,"Provides Human Centered Design expertise to create visualizations that communicate roadmaps, architectural diagrams, business process flows and system documentation diagrams.",Bachelors in any field,8,"Experience in design strategy and human centered design required.  Experience in design thinking, service designand product design preferred",,"Basic Design Strategist Provides Human Centered Design expertise to create visualizations that communicate roadmaps, architectural diagrams, business process flows and system documentation diagrams. Bachelors in any field 8 Experience in design strategy and human centered design required.  Experience in design thinking, service designand product design preferred nan"
Intermediate Digital Forensics Analyst," Serving as an advisor to the ARPA-H CISO on developing and maturing the agency's digital forensics program - Leading and conducting digital forensics investigations into suspected and/or confirmed cybersecurity incidents affecting the agency's systems, devices, and other assets - Producing and delivering analysis reports to the ARPA-H CISO and other agency leadership based on the outcomes of digital forensics investigations","Bachelors, Information Technology or related field",10,"Experience in digital forensics rquired.  Experience in digital forensics on digital media such as desktops, laptops, servers, and mobile devices preferred",,"Intermediate Digital Forensics Analyst  Serving as an advisor to the ARPA-H CISO on developing and maturing the agency's digital forensics program - Leading and conducting digital forensics investigations into suspected and/or confirmed cybersecurity incidents affecting the agency's systems, devices, and other assets - Producing and delivering analysis reports to the ARPA-H CISO and other agency leadership based on the outcomes of digital forensics investigations Bachelors, Information Technology or related field 10 Experience in digital forensics rquired.  Experience in digital forensics on digital media such as desktops, laptops, servers, and mobile devices preferred nan"
Intermediate Product Advisor ,"Serve as a product SME and drive the implementation of best practices to understand customer needs, determine product strategies, produce product roadmaps, and drive product execution including identification of personas, requirements, epics, user stories, and tasks",Bachelors in any field,10,"Experience in product leadership/ product roles and leading product teams in an agile environment required.  Experience with startups, program management, and software engineering preferred",,"Intermediate Product Advisor  Serve as a product SME and drive the implementation of best practices to understand customer needs, determine product strategies, produce product roadmaps, and drive product execution including identification of personas, requirements, epics, user stories, and tasks Bachelors in any field 10 Experience in product leadership/ product roles and leading product teams in an agile environment required.  Experience with startups, program management, and software engineering preferred nan"
Basic Subject Matter Expert (AI/Cybersecurity),"Advise on all AI/cybersecurity related activites, including establishing and implementing the cybersecurity principles, developing and maintaining an AI Risk Management Guide; advise on implementing AI cybersecurity requirements, guidance, and best practices","Masters, Cyber security or related field",10,Cybersecurity and AI experience required,,"Basic Subject Matter Expert (AI/Cybersecurity) Advise on all AI/cybersecurity related activites, including establishing and implementing the cybersecurity principles, developing and maintaining an AI Risk Management Guide; advise on implementing AI cybersecurity requirements, guidance, and best practices Masters, Cyber security or related field 10 Cybersecurity and AI experience required nan"
Basic Subject Matter Expert (Cybersecurity Operations),"Lead all operational cybersecurity related activites, including developing and maintaining the ARPA-H Cybersecurity Operations concept of operations and associated standard operating procedures","Masters, Cyber security or related field",10,"Cybersecurity operations experience, including incident responses required",,"Basic Subject Matter Expert (Cybersecurity Operations) Lead all operational cybersecurity related activites, including developing and maintaining the ARPA-H Cybersecurity Operations concept of operations and associated standard operating procedures Masters, Cyber security or related field 10 Cybersecurity operations experience, including incident responses required nan"
Basic Subject Matter Expert (Cybersecurity Engineering),"Lead all cybersecurity engineering related activites, including  Developing and maintaining the ARPA-H Cybersecurity Engineering concept of operations and associated standard operating procedures; provideguidance, analysis, and expertise for conducting cybersecurity operations and risk management","Masters, Cyber security or related field",10,Cybersecurity engineering experience required,,"Basic Subject Matter Expert (Cybersecurity Engineering) Lead all cybersecurity engineering related activites, including  Developing and maintaining the ARPA-H Cybersecurity Engineering concept of operations and associated standard operating procedures; provideguidance, analysis, and expertise for conducting cybersecurity operations and risk management Masters, Cyber security or related field 10 Cybersecurity engineering experience required nan"
Basic Scientist/Engineer (Data modeler),Management of enterprise data models and scientific ontologies interface to ontology community,Bachelors in any field,10,Experience in enterprise data modeling and creation of Entity Relationahip diagrams required.  Experience in common biomedical data models and semantic web technologyes preferred,,Basic Scientist/Engineer (Data modeler) Management of enterprise data models and scientific ontologies interface to ontology community Bachelors in any field 10 Experience in enterprise data modeling and creation of Entity Relationahip diagrams required.  Experience in common biomedical data models and semantic web technologyes preferred nan
Basic License Tracking,"Manage software licenses including but not limited to tracking, forecasting, and timing licenses",Bachelors in any field,5,Experience in software and Cloud license management required.  Understanding of liceses pricing models preferred,,"Basic License Tracking Manage software licenses including but not limited to tracking, forecasting, and timing licenses Bachelors in any field 5 Experience in software and Cloud license management required.  Understanding of liceses pricing models preferred nan"
Basic Acquisition Support,"Provide support for acquisitions and related operations, including assisting with acquisition packages and acquisition support documents",Bachelors in any field,5,Experience in federal acquistion requirements/regulations required. Excellent written and verabal communication skills required.,,"Basic Acquisition Support Provide support for acquisitions and related operations, including assisting with acquisition packages and acquisition support documents Bachelors in any field 5 Experience in federal acquistion requirements/regulations required. Excellent written and verabal communication skills required. nan"
Intermediate Advisor for Customer Delivery,"Lead strategic advisor to Head of Customer Delivery which encompasses enterprise software development, product owners, and Agile Scrum teams",Bachelors in any field,15,"Experience in IT project management required.  Experience in development IT procurement and configuration, budget formulation and execution for IT projects preferred.",,"Intermediate Advisor for Customer Delivery Lead strategic advisor to Head of Customer Delivery which encompasses enterprise software development, product owners, and Agile Scrum teams Bachelors in any field 15 Experience in IT project management required.  Experience in development IT procurement and configuration, budget formulation and execution for IT projects preferred. nan"
Intermediate Product Advisor,Serves as production advisor for Solution site rebuild; Serves as product advisor for implementation of ALMS,Masters in any field,15,"Experience in IT project management required.  Experience in development IT procurement and configuration, budget formulation and execution for IT projects preferred.",,"Intermediate Product Advisor Serves as production advisor for Solution site rebuild; Serves as product advisor for implementation of ALMS Masters in any field 15 Experience in IT project management required.  Experience in development IT procurement and configuration, budget formulation and execution for IT projects preferred. nan"
Advanced Systems Architect,Provide technical support to PMs,Computer Science or related scientific field Masters. ,8,Hands on experience in cloud computing systems architecture required.  Experience in software development and AI products preferred. ,,Advanced Systems Architect Provide technical support to PMs Computer Science or related scientific field Masters.  8 Hands on experience in cloud computing systems architecture required.  Experience in software development and AI products preferred.  nan
"Advanced Scientist, Engineer",Provide technical support to PMs,Computer Science or related scientific field Masters. ,15,"Expert in AI/ML, AI or software developer, project manager depending on specific program assignment (ACTS, Eureka, Grace)",,"Advanced Scientist, Engineer Provide technical support to PMs Computer Science or related scientific field Masters.  15 Expert in AI/ML, AI or software developer, project manager depending on specific program assignment (ACTS, Eureka, Grace) nan"
Intermediate Policy Analyst, Drafts initial  policies and associated policy guidance/templates for Government review,Masters in any field,8,Experience in policy development required.  Experience in AI policy and cybersecurity policy for the federal government preferred.,,Intermediate Policy Analyst  Drafts initial  policies and associated policy guidance/templates for Government review Masters in any field 8 Experience in policy development required.  Experience in AI policy and cybersecurity policy for the federal government preferred. nan
Intermediate Data Scientist,"Data scientists to support across agency and different programs, analyze internal data and support program development",Computer Science or related scientific field PhD. ,10,Experience in data science or AI is required.  Experience in operations research or machine learning is highly preferred.,,"Intermediate Data Scientist Data scientists to support across agency and different programs, analyze internal data and support program development Computer Science or related scientific field PhD.  10 Experience in data science or AI is required.  Experience in operations research or machine learning is highly preferred. nan"
Basic Database Specilaist,Provide service desk support,Associates in any field,5,"Experience providing help desk support to clients required, including resolving system issues and escalating trouble tickets.",,"Basic Database Specilaist Provide service desk support Associates in any field 5 Experience providing help desk support to clients required, including resolving system issues and escalating trouble tickets. nan"
Intermediate Travel Specialist,Prepare and Coordinate travel for  Office leadership and staff,Bachelors in any field,2,"Specific knowledge and expertise in preparing and reviewing manually and electronically generated travel authorizations and vouchers, processing passport/visa applications, Commercial Ticketing Office (CTO) operations and use of GSA City Pair airfare rates is required. Experience in an R&D environment is highly preferred. ",,"Intermediate Travel Specialist Prepare and Coordinate travel for  Office leadership and staff Bachelors in any field 2 Specific knowledge and expertise in preparing and reviewing manually and electronically generated travel authorizations and vouchers, processing passport/visa applications, Commercial Ticketing Office (CTO) operations and use of GSA City Pair airfare rates is required. Experience in an R&D environment is highly preferred.  nan"
Intermediate Conference/Events Planner,Provide event planning to the office,Bachelors in any field,3,"Experience with large event planning, special event planning support and execution, to include, but not limited to, technical conferences, strategic off-site events, executive meetings, technology demonstrations and showcase events is required.  Experience in an R&D environment is highly preferred. ",,"Intermediate Conference/Events Planner Provide event planning to the office Bachelors in any field 3 Experience with large event planning, special event planning support and execution, to include, but not limited to, technical conferences, strategic off-site events, executive meetings, technology demonstrations and showcase events is required.  Experience in an R&D environment is highly preferred.  nan"
